acceptedSymbol,taxon_id
"ALSU","130756"
"ALTR7","61167"
"ALOC2","58109"
"ALCH","158163"
"ALIN","75334"
"ALINI","80335"
"ALINN","239128"
"ALINV2","80336"
"ALAA","158164"
"ALAB2","75335"
"ALAC4","59782"
"ALAL4","158165"
"ALAM2","60267"
"ALAN","75336"
"ALAT","75337"
"ALATA","80337"
"ALATC","875032"
"ALBI","158166"
"ALBI2","75338"
"ALBIB","239131"
"ALBIP","239132"
"ALBO","59783"
"ALBOB","80339"
"ALBOM","80340"
"ALBOS","239133"
"ALBR","158167"
"ALBR2","158168"
"ALBU2","158169"
"ALBU","75339"
"ALCA2","75340"
"ALCA3","126641"
"ALCAC","200032"
"ALCAE","239134"
"ALCAF","239135"
"ALCAH","128732"
"ALCAL","495561"
"ALCAM","126642"
"ALCE2","116364"
"ALCEC2","239139"
"ALCEN","239140"
"ALCEO","239141"
"ALCO2","158170"
"ALCO3","158171"
"ALCO","158172"
"ALCR3","59078"
"ALCR4","62580"
"ALCR5","58351"
"ALCU","158173"
"ALDE6","75341"
"ALDI10","75342"
"ALDI2","57124"
"ALDI3","158174"
"ALDO","158175"
"ALDR","128731"
"ALEL","158176"
"ALFA3","47356"
"ALFI","158177"
"ALFI2","58353"
"ALFIF","59079"
"ALFIM","80341"
"ALFIP2","80342"
"ALFI4","126225"
"ALGE","148938"
"ALGEC","239142"
"ALGEG","239143"
"ALGET","1006990"
"ALGL","158178"
"ALGO","158179"
"ALHA","75343"
"ALHI","75344"
"ALHO","75345"
"ALHO2","58354"
"ALHOC","80343"
"ALHOH","58355"
"ALHOS","1003542"
"ALHY","75346"
"ALJE","75347"
"ALKU","158180"
"ALLA3","57125"
"ALLAD","80345"
"ALLAK","1577216"
"ALLAL","61190"
"ALLAM2","59080"
"ALLE3","75348"
"ALMA4","148939"
"ALMA5","158181"
"ALMA6","158182"
"ALME","75350"
"ALMO3","75351"
"ALMU6","75352"
"ALNE","75353"
"ALNE4","158183"
"ALOB","75354"
"ALOBC","80347"
"ALOBO","80348"
"ALOX","128098"
"ALPA2","75356"
